movieId,title,release_date,genres
1,Toy Story (1995),01-Jan-1997,Animation|Children|Comedy
2,GoldenEye (1995),01-Jan-1991,Thriller|War
3,Four Rooms (1995),01-Jan-1995,Children|Mystery|Western
4,Get Shorty (1995),01-Jan-1995,Crime|Sci-Fi
5,Copycat (1995),01-Jan-1994,Animation|Comedy|Horror
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1991,Film-Noir
7,Twelve Monkeys (1995),01-Jan-1991,Musical
8,Babe (1995),01-Jan-1992,Comedy|Mystery|Romance
9,Dead Man (1995),01-Jan-1996,Crime|Thriller
10,Richard III (1995),01-Jan-1998,Crime|Thriller|Western
11,Seven (Se7en) (1995),01-Jan-1994,Crime
12,"Usual Suspects, The (1995)",01-Jan-1995,Crime|Drama|Thriller
13,Mighty Aphrodite (1995),01-Jan-1997,Action|Adventure|Musical
14,"Postino, Il (The Postman) (1994)",01-Jan-1997,Documentary
15,Mr. Holland's Opus (1995),01-Jan-1996,Romance|Thriller|War
16,French Twist (Gazon maudit) (1995),01-Jan-1997,Sci-Fi|Thriller
17,From Dusk Till Dawn (1996),01-Jan-1992,Action
18,"White Balloon, The (Badkonake sefid) (1995)",01-Jan-1993,Adventure|Fantasy
19,Antonia's Line (Antonia) (1995),01-Jan-1993,Crime|Film-Noir|Sci-Fi
20,Angels and Insects (1995),01-Jan-1997,Children|War|Western
21,Muppet Treasure Island (1996),01-Jan-1994,Adventure|Musical|Sci-Fi
22,Braveheart (1995),01-Jan-1998,Drama|War
23,Batman Forever (1995),01-Jan-1993,Children|Drama
24,Apollo 13 (1995),01-Jan-1994,Sci-Fi
25,"Net, The (1995)",01-Jan-1994,Animation|Sci-Fi
26,Sense and Sensibility (1995),01-Jan-1991,Documentary
27,Leaving Las Vegas (1995),01-Jan-1995,Comedy|Crime|Romance
28,City Hall (1996),01-Jan-1993,Adventure
29,"Shaggy Dog, The (1959)",01-Jan-1995,Crime|Fantasy|Horror
30,Ace Ventura: Pet Detective (1994),01-Jan-1994,Comedy
31,Star Wars (1977),01-Jan-1994,Action|Sci-Fi
32,Schindler's List (1993),01-Jan-1994,Drama|War
33,Forrest Gump (1994),01-Jan-1998,Drama|War
34,Pulp Fiction (1994),01-Jan-1991,Crime|Drama|Thriller
35,The Silence of the Lambs (1991),01-Jan-1992,Crime|Drama|Thriller
36,Fargo (1996),01-Jan-1996,Crime|Drama|Thriller
37,The Shawshank Redemption (1994),01-Jan-1990,Comedy|Western
38,Goodfellas (1990),01-Jan-1993,Crime|Drama|Thriller
39,Jurassic Park (1993),01-Jan-1992,Drama|Horror|Mystery
40,Terminator 2: Judgment Day (1991),01-Jan-1997,Action|Sci-Fi
41,The Lion King (1994),01-Jan-1992,Animation|Children|Comedy
42,Aladdin (1992),01-Jan-1994,Animation|Children|Comedy
43,Beauty and the Beast (1991),01-Jan-1996,Animation|Children|Comedy
44,Home Alone (1990),01-Jan-1996,Animation|Western
45,Dances with Wolves (1990),01-Jan-1996,Fantasy|Musical|Sci-Fi
46,Rain Man (1988),01-Jan-1997,Action|Animation
47,Die Hard (1988),01-Jan-1997,Action|Sci-Fi
48,Back to the Future (1985),01-Jan-1995,Western
49,Raiders of the Lost Ark (1981),01-Jan-1996,Action|Sci-Fi
50,E.T. the Extra-Terrestrial (1982),01-Jan-1993,Documentary|Thriller
51,Indiana Jones and the Last Crusade (1989),01-Jan-1994,Film-Noir|Horror
52,The Fugitive (1993),01-Jan-1998,Comedy|Horror|Thriller
53,Speed (1994),01-Jan-1990,Children
54,True Lies (1994),01-Jan-1997,Children
55,The Rock (1996),01-Jan-1992,Action|Sci-Fi
56,Mission Impossible (1996),01-Jan-1996,Action|Sci-Fi
57,Independence Day (1996),01-Jan-1993,Action|Sci-Fi
58,Twister (1996),01-Jan-1992,Crime|Fantasy|Film-Noir
59,Jerry Maguire (1996),01-Jan-1991,Animation|Fantasy|Musical
60,The English Patient (1996),01-Jan-1995,Adventure|Crime|Mystery
61,Evita (1996),01-Jan-1994,Animation|Drama|Romance
62,Michael Collins (1996),01-Jan-1991,Documentary
63,Sling Blade (1996),01-Jan-1997,Comedy
64,Shine (1996),01-Jan-1993,Action|Sci-Fi|War
65,Secrets & Lies (1996),01-Jan-1995,Romance
66,Breaking the Waves (1996),01-Jan-1992,Animation|Drama
67,Trainspotting (1996),01-Jan-1996,Children
68,Scream (1996),01-Jan-1991,Horror|Thriller
69,Sleepers (1996),01-Jan-1995,Comedy|Film-Noir
70,Primal Fear (1996),01-Jan-1996,Comedy
71,The Craft (1996),01-Jan-1991,Action|Crime|Sci-Fi
72,Eraser (1996),01-Jan-1995,Comedy|Documentary|Romance
73,The Island of Dr. Moreau (1996),01-Jan-1997,Animation
74,The Nutty Professor (1996),01-Jan-1991,Comedy
75,The Cable Guy (1996),01-Jan-1992,Comedy
76,Bulletproof (1996),01-Jan-1991,Musical|Mystery|Romance
77,The Crow: City of Angels (1996),01-Jan-1995,Drama
78,Ransom (1996),01-Jan-1994,Animation|Drama|Film-Noir
79,Michael (1996),01-Jan-1990,Documentary|Film-Noir|War
80,101 Dalmatians (1996),01-Jan-1996,Adventure|Drama
81,Space Jam (1996),01-Jan-1997,Children|Drama
82,Jingle All the Way (1996),01-Jan-1997,Action|Animation|War
83,Mars Attacks! (1996),01-Jan-1995,Comedy|Mystery
84,The Mirror Has Two Faces (1996),01-Jan-1996,Crime|Western
85,Hamlet (1996),01-Jan-1997,Action
86,Emma (1996),01-Jan-1991,Fantasy
87,Fly Away Home (1996),01-Jan-1993,Adventure
88,The Ghost and the Darkness (1996),01-Jan-1996,Film-Noir|Romance|War
89,Sleepless in Seattle (1993),01-Jan-1996,Comedy|Romance
90,Pretty Woman (1990),01-Jan-1996,Comedy|Romance
91,When Harry Met Sally... (1989),01-Jan-1991,Comedy|Romance
92,My Best Friend's Wedding (1997),01-Jan-1998,Comedy|Romance
