userId,movieId,rating
254,1197,2
162,1608,1
95,386,4
150,93,5
191,848,5
241,211,4
65,1675,4
743,1361,1
454,1258,4
932,1260,3
144,278,1
682,1085,2
403,1670,3
21,1376,4
391,155,2
396,499,1
107,396,1
52,689,4
198,514,5
698,837,5
887,736,3
49,391,5
942,1197,2
885,663,3
647,1249,5
759,1490,5
539,26,4
394,803,4
12,509,5
454,1608,2
160,1161,1
204,679,5
259,386,4
453,1383,4
355,848,1
446,212,3
167,797,3
826,433,4
821,89,2
310,1105,4
466,1618,2
216,689,4
744,808,1
348,808,1
804,859,3
408,859,5
64,1049,3
316,1270,4
650,392,3
710,1197,5
751,1198,3
340,166,3
178,1336,2
522,1146,2
892,679,4
897,1023,3
618,1608,5
936,197,3
313,972,3
251,94,5
860,1141,1
459,797,5
839,264,3
555,505,2
113,160,3
266,402,1
16,227,3
208,397,3
75,807,3
264,706,4
475,1680,1
74,582,5
509,510,3
504,166,3
326,1557,4
469,1111,1
883,162,5
377,1522,4
284,1331,4
10,8,5
786,229,3
122,249,4
161,177,2
338,1567,1
374,1224,4
307,2,5
439,1619,4
126,1122,2
181,829,4
282,1635,5
899,1045,4
178,531,3
620,1630,2
904,1389,2
618,803,4
272,166,2
313,167,2
867,1507,5
34,752,4
84,115,3
521,870,5
769,972,5
560,44,3
18,249,4
804,404,1
541,1522,4
200,1229,3
864,1209,3
676,1158,3
387,1055,1
473,829,4
82,1173,4
538,1224,2
132,536,2
911,274,4
608,465,3
665,999,2
782,1584,1
446,1635,4
379,413,4
50,1635,3
415,70,5
876,1219,4
881,1563,4
511,532,4
134,582,5
719,1235,3
870,650,4
873,921,5
909,578,4
685,870,3
716,183,4
103,1646,1
189,1420,1
903,9,1
466,8,4
182,249,4
441,1641,5
277,486,5
423,311,3
550,1584,4
92,706,5
579,70,4
183,70,5
589,1512,4
188,414,3
341,1410,3
401,1461,4
492,1579,4
862,358,5
922,409,5
299,1184,3
237,306,2
15,1425,3
390,1302,4
106,1543,3
825,476,1
491,1354,4
145,717,1
205,1522,2
702,1574,3
353,1420,5
234,8,1
387,250,4
824,1005,3
829,1349,4
792,1467,4
391,1123,3
735,933,3
883,1585,5
475,70,2
597,999,1
535,121,5
287,19,4
13,948,3
135,379,3
252,964,2
935,994,2
257,1308,4
885,1631,3
291,892,5
12,1477,4
497,768,1
832,492,4
491,199,1
928,954,2
147,389,4
308,1246,5
301,75,4
836,1365,4
110,507,5
459,1415,1
397,537,5
216,1657,4
799,1483,5
639,70,3
451,19,4
325,1600,5
51,277,2
801,1529,4
835,359,1
546,256,1
790,616,3
607,1663,5
261,1026,3
634,76,4
498,215,4
102,215,2
878,436,3
201,194,1
380,1657,4
937,1016,3
413,1016,5
351,138,1
181,1447,1
905,1478,5
848,944,4
69,1206,3
494,446,1
67,379,4
686,616,5
808,1545,5
553,272,4
157,272,4
121,615,3
711,1612,5
219,1150,5
771,1663,2
592,200,2
860,954,5
839,77,1
211,508,4
328,1093,4
560,662,1
610,779,3
646,436,3
763,1021,4
372,1365,4
518,1190,5
757,1206,3
548,278,5
572,672,4
942,205,1
329,1668,4
761,1325,4
855,960,2
511,1150,1
506,806,5
321,272,4
660,492,1
763,1371,3
469,924,2
412,390,5
190,1509,4
128,631,5
376,733,5
852,662,5
666,1438,3
659,267,4
624,1212,3
942,555,2
663,1140,5
864,672,5
559,36,3
332,811,2
373,812,2
829,1617,3
32,519,1
710,205,4
493,1668,5
529,1325,4
279,1150,1
810,786,2
146,1560,3
922,1027,3
44,1283,4
179,919,5
332,1161,5
863,797,3
416,108,3
569,350,4
665,812,2
730,1207,4
668,329,2
441,1104,4
50,1448,4
136,468,5
566,52,4
667,858,1
3,878,4
44,1633,5
534,514,4
377,530,5
874,1336,3
309,1335,4
4,1453,1
343,919,5
152,1351,3
347,1038,5
774,1105,4
435,1639,3
337,350,2
586,1054,5
488,519,5
188,227,4
711,2,2
771,53,4
776,1151,1
862,171,2
177,68,3
770,582,5
59,1510,5
166,1407,4
327,12,1
43,253,5
160,1592,5
579,233,4
11,1469,3
503,1177,3
943,1449,1
542,1105,4
354,1054,3
786,1465,4
841,1172,4
99,535,4
479,2,1
591,243,5
536,536,3
744,1239,5
348,1239,3
749,1583,1
351,756,4
833,530,1
595,1116,3
189,428,3
801,992,1
400,648,3
343,114,4
155,63,4
84,1351,4
151,1075,4
495,885,1
216,1470,2
586,249,4
149,248,4
703,1588,2
554,1465,3
213,1172,2
239,141,5
299,192,2
10,89,2
109,68,4
798,1044,1
886,891,5
108,597,4
163,304,2
68,1198,4
128,1249,4
164,906,4
878,249,5
315,1075,4
313,248,1
354,249,5
531,1639,5
572,1640,1
257,316,2
718,1465,5
465,1019,3
7,141,4
843,413,2
215,844,5
32,1137,5
183,1306,1
121,428,4
933,306,3
711,1425,4
551,12,2
427,1666,4
771,1476,5
652,64,3
267,253,3
857,1250,4
19,151,3
404,716,1
865,1111,4
511,613,3
930,8,3
713,1471,2
672,1470,4
424,1368,5
458,198,3
518,1003,4
260,213,1
361,265,2
760,536,5
132,967,4
178,1312,5
171,141,5
415,501,2
100,1429,4
141,1430,3
480,1650,4
814,772,4
134,1013,1
514,480,3
657,34,2
261,34,4
875,1425,2
37,1080,4
591,1666,4
849,204,4
96,906,3
810,249,5
588,1368,1
414,249,3
226,198,2
653,265,1
866,1312,4
809,778,4
347,1656,2
433,1430,2
47,1394,5
927,1184,3
182,1030,5
146,1373,5
669,394,1
247,1425,1
51,1513,3
643,1425,3
617,204,5
578,1030,5
486,1441,4
520,1025,1
518,198,3
229,95,1
48,1215,1
421,265,4
543,1194,4
725,676,4
35,229,4
76,230,4
789,1600,4
844,1307,5
880,964,2
42,619,4
89,465,1
661,102,2
346,1030,2
497,1199,5
624,220,5
684,1025,2
723,199,3
623,749,5
339,990,4
683,800,4
337,163,1
717,384,2
89,815,3
159,1554,1
295,691,3
52,933,2
143,297,4
929,1206,3
203,1102,3
485,34,3
700,1154,4
244,1103,4
304,1154,3
736,1565,3
922,35,5
455,1323,5
212,1565,2
14,1580,4
103,117,5
550,1560,3
345,404,1
508,1334,4
847,1554,1
654,1159,4
258,1159,2
196,281,4
318,1210,3
592,281,4
289,472,5
745,523,5
414,1672,3
937,1447,5
596,1154,4
895,1221,2
189,241,4
121,1046,4
902,1611,3
501,513,4
217,1508,3
251,338,5
122,1648,4
795,990,4
115,1231,2
397,163,5
180,1626,2
896,1042,4
302,303,4
610,1210,5
706,918,1
174,1057,1
117,523,4
554,1278,2
705,1447,3
77,1124,4
416,1344,3
168,1242,4
517,1396,3
507,708,4
264,950,3
75,1051,4
410,775,5
702,395,4
74,826,4
134,1631,3
889,221,2
163,117,2
316,359,4
128,1062,1
219,426,5
604,991,1
279,1231,4
664,1042,2
253,10,3
846,524,1
409,523,5
901,231,4
156,77,1
70,1057,4
216,128,4
226,816,1
278,1006,3
718,1278,3
404,179,1
468,1103,4
311,365,5
22,262,1
426,877,4
467,878,1
902,806,2
491,1449,5
862,1407,4
461,1063,4
922,1458,3
578,1648,1
901,581,2
773,1335,3
864,1453,2
802,575,3
332,1592,2
366,422,4
767,1520,1
569,781,3
75,246,4
314,262,3
389,1345,3
76,848,2
415,314,5
141,1243,5
128,257,5
914,1166,4
570,1356,3
565,1012,3
716,427,3
127,786,3
187,837,2
561,489,4
339,1608,4
767,365,5
371,365,4
529,951,4
766,140,2
573,499,3
172,155,3
237,550,4
202,1495,5
788,1592,4
824,1249,3
139,1146,5
82,612,2
636,1198,5
290,561,4
639,1469,5
665,438,4
735,1177,4
329,489,4
573,849,4
344,797,4
932,967,4
151,1156,5
534,140,5
625,258,2
382,500,4
62,1084,1
838,1305,1
879,1306,3
939,1357,4
877,479,2
528,325,4
736,1028,2
782,1373,2
340,1028,4
121,1664,4
439,253,5
886,972,5
844,1470,2
211,1557,3
154,1023,4
398,1383,4
680,315,5
47,402,4
174,1675,4
112,797,3
169,1331,4
929,1019,3
674,500,4
791,1085,3
359,1428,1
395,1085,3
632,274,3
600,736,1
686,510,1
756,1249,5
883,1024,1
375,1557,3
406,870,3
10,870,3
122,1111,4
354,680,3
409,1141,3
318,1023,1
218,1573,1
63,504,3
754,1553,1
28,1449,2
783,793,3
838,500,3
874,157,3
213,448,4
249,105,1
803,1445,5
407,1445,5
269,1511,4
55,239,4
860,1198,1
464,1198,4
459,854,4
669,1630,4
894,28,5
901,1199,1
610,1023,3
307,1214,3
362,921,4
737,44,1
854,1383,3
570,1624,3
828,162,5
554,1091,4
174,870,5
270,1332,4
705,1260,4
760,967,4
791,280,5
17,105,2
886,517,4
160,413,1
266,809,2
758,1271,3
123,531,1
472,685,1
138,1563,4
852,906,5
666,1682,3
563,803,5
164,532,5
375,752,5
411,409,2
466,870,4
461,526,1
70,870,1
708,403,5
410,938,3
559,280,2
332,1055,5
270,177,4
53,1640,4
118,537,2
517,54,4
360,70,4
482,999,2
425,465,5
526,1271,5
901,394,2
729,1630,3
364,943,4
362,116,5
103,1353,1
913,404,1
168,250,4
6,1420,4
785,1158,4
415,127,5
193,1246,4
131,368,4
912,933,4
100,1055,4
667,1102,2
378,999,5
753,122,1
479,1051,4
568,342,1
661,533,5
781,1389,3
247,701,2
335,548,4
622,578,1
288,1456,5
770,476,4
374,476,5
147,1251,4
100,1405,1
59,1404,3
585,696,3
342,938,1
774,1349,3
834,1400,4
591,1642,1
529,764,1
868,230,3
899,297,5
873,1328,4
620,882,2
828,1585,1
485,465,3
146,999,2
201,706,3
388,532,4
429,533,4
207,1652,1
890,1682,1
394,1478,4
483,769,2
730,646,3
735,990,4
384,9,4
10,1488,1
748,1225,4
841,1416,1
932,780,2
63,1122,1
479,246,1
257,1365,4
153,1015,5
929,482,3
22,1498,3
192,189,4
782,1186,3
457,1426,1
780,359,4
147,446,1
745,1304,5
456,1201,4
60,1201,4
834,595,4
149,492,4
641,954,1
737,662,1
107,266,4
544,1021,3
239,385,2
294,92,4
885,533,4
606,1118,5
697,482,3
353,672,2
12,379,2
886,1135,2
824,257,3
447,307,3
660,1354,4
259,256,3
16,1252,5
66,615,2
933,200,4
602,595,2
411,1027,3
65,390,4
404,610,2
440,267,4
557,852,5
601,1124,2
64,919,2
559,898,4
650,262,5
426,1308,1
806,775,2
118,1155,4
766,1376,3
267,497,2
86,1617,5
14,51,1
748,770,2
516,1201,3
521,1545,4
708,1371,4
763,1078,4
362,734,2
701,200,2
458,442,5
888,26,1
330,1196,2
817,1314,3
801,781,4
452,627,1
285,1453,2
171,385,2
942,262,2
314,693,4
477,1623,3
363,555,5
358,211,4
79,796,1
418,262,3
475,1550,5
222,1104,4
511,1207,4
328,1500,5
323,1156,4
373,519,4
823,1479,3
756,257,3
558,272,4
685,1545,4
776,1663,5
91,806,2
750,442,1
335,1166,4
278,632,4
374,1094,5
656,26,4
90,1335,1
220,627,1
767,796,5
710,262,1
858,160,5
857,689,5
146,1617,4
526,1084,4
552,53,5
120,396,4
232,637,1
820,807,5
419,463,5
429,1151,5
80,997,4
424,807,4
802,201,3
330,391,5
41,288,3
543,1438,4
665,869,4
720,576,3
288,919,3
912,746,2
248,1520,2
232,987,3
626,160,4
631,504,4
37,519,2
529,227,5
133,227,2
716,53,3
194,1634,4
689,1613,5
338,632,4
740,1578,4
251,1387,3
829,869,2
488,576,4
209,1161,1
923,504,5
742,1624,1
888,1449,4
492,1449,1
203,1346,4
146,812,5
542,812,4
20,1639,1
51,952,2
13,468,2
820,2,5
424,2,3
536,243,5
80,192,1
481,536,2
298,1583,3
673,706,2
575,171,4
733,757,5
12,997,3
139,772,1
600,1167,3
189,135,1
316,1408,3
597,869,1
289,716,2
815,8,2
156,1126,5
94,248,3
651,1105,1
656,1449,5
589,227,5
119,1244,1
645,536,3
249,536,2
61,1239,5
460,756,5
897,1511,4
501,757,5
113,648,4
586,306,4
357,1008,5
21,1059,5
802,1624,3
57,716,5
554,1522,3
609,1229,4
203,541,4
366,1471,4
77,1368,2
72,1024,3
739,521,5
517,1640,5
486,75,2
551,1224,3
360,1656,5
267,1465,2
790,486,1
363,1173,2
413,536,3
348,141,4
886,948,4
256,552,2
639,290,5
407,721,3
11,721,5
128,1306,5
169,1307,1
604,1235,2
716,1476,4
260,1425,5
313,305,2
354,306,2
130,1352,2
221,716,3
754,1179,4
307,490,4
470,1420,2
403,198,4
554,367,2
524,1656,4
467,1122,4
899,1533,4
235,1553,1
214,676,2
269,1137,2
592,70,4
360,501,3
24,552,5
278,1600,1
708,1184,1
419,1081,4
799,548,5
231,1030,4
893,183,3
755,249,1
863,1472,5
173,1025,1
171,198,1
506,676,5
292,1656,2
3,1553,4
123,157,2
852,532,4
281,1497,4
776,1476,5
414,306,5
192,1425,3
770,907,1
126,805,4
814,1179,5
179,439,5
123,507,4
923,1122,3
732,1554,3
618,486,3
771,728,4
831,1533,5
867,1190,5
146,1430,4
669,451,4
734,1600,3
393,1307,4
85,1154,3
479,327,3
83,327,5
236,1323,3
570,445,4
538,907,4
100,681,4
136,338,4
628,800,1
196,1143,5
323,164,5
3,748,4
724,1262,1
667,728,2
151,1400,1
433,332,2
99,1210,2
8,1092,4
534,384,2
435,1159,5
909,261,4
774,625,3
286,1036,3
195,918,2
685,553,5
874,1206,2
872,379,1
239,466,2
1,1052,4
674,394,3
622,204,5
842,1668,2
56,1513,2
775,446,2
147,877,1
587,1149,5
926,615,2
678,513,5
363,1441,2
454,1559,5
545,923,1
245,631,1
735,266,4
888,1262,1
492,1262,3
826,384,5
430,384,2
201,332,4
10,764,3
450,1036,3
298,1396,1
632,518,2
14,1637,1
790,1104,5
353,1103,2
941,1273,4
920,396,2
939,446,4
97,359,1
500,749,4
104,749,3
940,1021,5
651,918,4
255,918,4
250,574,4
210,1175,2
304,56,1
402,1345,2
837,519,1
460,569,5
339,242,4
399,293,3
266,703,2
763,1509,1
11,184,1
513,1334,5
883,113,5
700,406,2
72,837,3
132,1642,3
512,1109,3
851,575,4
75,1108,2
856,919,1
395,524,4
116,1109,3
314,1124,1
267,1278,3
759,986,5
697,108,2
84,1571,2
855,1448,5
566,1345,4
376,1221,5
847,806,1
354,119,3
122,550,2
523,1648,4
810,924,4
182,1355,3
218,1012,3
718,1335,2
369,1181,4
317,991,5
67,62,2
277,1592,1
712,1520,3
311,422,2
579,1176,3
711,1295,4
420,365,3
743,52,2
612,535,4
802,632,3
